TRANS_FRAUD	CUSTOMER_ID	TERMINAL_ID	TRANS_AMOUNT	TRANS_DAY_OF_WEEK	TRANS_HOUR_OF_DAY	TRANS_WEEKEND	TRANS_NIGHT	CT_AVG_DAY_AMOUNT	CT_AVG_DAY_TRANS	CT_TOT_DAY_AMOUNT	CT_TOT_DAY_TRANS	CT_FRAUD_HIST	TM_AVG_DAY_AMOUNT	TM_AVG_DAY_TRANS	TM_TOT_DAY_AMOUNT	TM_TOT_DAY_TRANS	TM_FRAUD_HIST	TM_CLIENTELE	CT_PURCHASE_TM
1	0	2352	22.54	4	12	0	0	147.477	2.4	22.54	1	0	81.47808510638298	1.2765957446808511	36.32	2	9	27	4
1	1	5	205.35	7	13	1	0	190.80675977653632	3.6927374301675977	549.75	7	1	91.21861111111112	1.4814814814814814	324.51	3	0	32	1
1	1	5	273.6	1	9	0	0	190.80675977653632	3.6927374301675977	321.41	2	10	91.21861111111112	1.4814814814814814	273.6	1	1	32	2
1	1	1083	31.33	4	10	0	0	190.80675977653632	3.6927374301675977	203.84	5	18	93.96688679245283	1.5471698113207548	31.33	1	12	36	4
1	1	1083	0.57	5	18	0	0	190.80675977653632	3.6927374301675977	120.05	3	19	93.96688679245283	1.5471698113207548	0.57	1	18	36	5
1	1	1083	18.77	3	8	0	0	190.80675977653632	3.6927374301675977	325.2	7	20	93.96688679245283	1.5471698113207548	234.16	4	21	36	6
1	1	1331	213.9	2	12	0	0	190.80675977653632	3.6927374301675977	400.46999999999997	5	4	103.58927419354839	1.685483870967742	489.78	4	1	35	0
1	1	2082	58.45	1	8	0	0	190.80675977653632	3.6927374301675977	332.65	6	15	94.74638888888889	1.5092592592592593	152.18	4	2	33	2
1	1	2082	38.24	5	6	0	0	190.80675977653632	3.6927374301675977	294.04	6	16	94.74638888888889	1.5092592592592593	38.24	1	13	33	3
1	1	2082	55.7	6	18	1	0	190.80675977653632	3.6927374301675977	365.86	6	17	94.74638888888889	1.5092592592592593	68.59	2	21	33	4
1	1	2641	76.55	2	8	0	0	190.80675977653632	3.6927374301675977	400.46999999999997	5	3	89.14833333333333	1.6491228070175439	151.76	3	0	33	1
1	1	5385	98.35	4	15	0	0	190.80675977653632	3.6927374301675977	417.22	3	7	85.81981132075471	1.4622641509433962	124.78	2	0	30	1
1	1	5672	42.3	4	11	0	0	190.80675977653632	3.6927374301675977	212.15	4	14	92.3881443298969	1.597938144329897	71.57	2	15	32	2
1	1	6181	351.55	7	13	1	0	190.80675977653632	3.6927374301675977	424.1	2	9	89.44264957264957	1.6666666666666667	404.51	2	0	36	2
1	1	6547	146.54999999999998	5	17	0	0	190.80675977653632	3.6927374301675977	505.57	6	13	90.12375	1.4326923076923077	256.17999999999995	3	1	30	2
1	1	7128	288.45	3	9	0	0	190.80675977653632	3.6927374301675977	376.19	2	5	95.90232323232323	1.5454545454545454	288.45	1	0	35	1
1	1	7334	307.7	5	7	0	0	190.80675977653632	3.6927374301675977	398.54999999999995	2	8	98.59438596491228	1.5263157894736843	307.7	1	1	33	4
1	1	7372	262.8	1	0	0	1	190.80675977653632	3.6927374301675977	262.8	1	2	93.67432989690721	1.5154639175257731	262.8	1	0	35	2
1	1	7469	362.75	3	18	0	0	190.80675977653632	3.6927374301675977	406.93	2	11	100.1368695652174	1.608695652173913	432.08	2	0	36	0
1	1	7631	167.95000000000002	7	8	1	0	190.80675977653632	3.6927374301675977	549.75	7	0	96.30198113207547	1.5471698113207548	167.95000000000002	1	0	35	3
1	1	7735	264.40000000000003	4	9	0	0	190.80675977653632	3.6927374301675977	417.22	3	6	91.95311926605504	1.6055045871559632	383.96000000000004	2	0	41	1
1	1	8044	39.41	5	16	0	0	190.80675977653632	3.6927374301675977	192.82	3	21	92.20058823529412	1.546218487394958	336.90999999999997	3	10	31	3
1	1	8044	79.6	7	15	1	0	190.80675977653632	3.6927374301675977	228.44	5	22	92.20058823529412	1.546218487394958	79.6	1	13	31	4
1	1	8548	187.3	5	17	0	0	190.80675977653632	3.6927374301675977	505.57	6	12	103.04345454545455	1.6181818181818182	187.3	1	0	33	1
1	2	2836	114.24	1	11	0	0	172.6438125	2.1125	406.33	4	0	80.60175438596491	1.4473684210526316	181.19	3	11	24	0
1	2	2836	21.97	2	8	0	0	172.6438125	2.1125	269.21	5	1	80.60175438596491	1.4473684210526316	21.97	1	24	24	1
1	5	79	59.73	1	19	0	0	169.05175141242938	3.367231638418079	303.34	7	7	95.96354838709678	1.6693548387096775	368.75	6	6	32	6
1	5	79	63.11	7	10	1	0	169.05175141242938	3.367231638418079	285.9	7	9	95.96354838709678	1.6693548387096775	199.14000000000001	3	23	32	7
1	5	79	19.91	6	13	1	0	169.05175141242938	3.367231638418079	100.8	3	10	95.96354838709678	1.6693548387096775	34.42	2	40	32	8
1	5	1705	92.02	5	12	0	0	169.05175141242938	3.367231638418079	348.78	8	5	74.08590909090908	1.2954545454545454	92.02	1	5	18	4
1	5	1705	88.77	4	17	0	0	169.05175141242938	3.367231638418079	149.2	2	6	74.08590909090908	1.2954545454545454	168.48	2	10	18	5
1	5	1705	52.65	4	11	0	0	169.05175141242938	3.367231638418079	245.1	5	8	74.08590909090908	1.2954545454545454	94.41	2	15	18	6
1	5	3619	50.89	2	12	0	0	169.05175141242938	3.367231638418079	128.23000000000002	2	4	90.7125	1.7016129032258065	65.09	2	1	39	4
1	5	7082	56.24	5	16	0	0	169.05175141242938	3.367231638418079	252.93	6	2	74.35539682539682	1.4523809523809523	92.13	2	3	29	2
1	5	7082	23.88	6	0	1	1	169.05175141242938	3.367231638418079	30.16	2	3	74.35539682539682	1.4523809523809523	23.88	1	5	29	3
1	5	8793	57.43	3	12	0	0	169.05175141242938	3.367231638418079	259.6	5	0	91.10348484848485	1.7954545454545454	57.43	1	0	46	1
1	5	8793	29.57	7	4	1	1	169.05175141242938	3.367231638418079	107.4	4	1	91.10348484848485	1.7954545454545454	117.13	2	12	46	2
1	8	937	8.22	1	5	0	1	18.769878048780487	2.6707317073170733	20.57	4	0	102.67046296296296	1.5833333333333333	8.22	1	3	35	0
1	8	937	6.39	2	10	0	0	18.769878048780487	2.6707317073170733	22.619999999999997	3	1	102.67046296296296	1.5833333333333333	21.97	2	8	35	1
1	8	4938	9.82	6	11	1	0	18.769878048780487	2.6707317073170733	9.82	1	2	90.04410256410256	1.641025641025641	148.61	3	6	34	1
1	8	4938	9.06	1	18	0	0	18.769878048780487	2.6707317073170733	22.32	2	3	90.04410256410256	1.641025641025641	9.06	1	20	34	2
1	9	3171	86.94	7	6	1	0	264.1476506024096	2.6686746987951806	86.94	1	2	90.31041666666667	1.5416666666666667	86.94	1	11	30	3
1	9	8695	48.21	6	10	1	0	264.1476506024096	2.6686746987951806	488.97999999999996	5	0	78.55777777777777	1.3981481481481481	48.21	1	2	34	3
1	9	8695	77.15	4	12	0	0	264.1476506024096	2.6686746987951806	450.17	5	1	78.55777777777777	1.3981481481481481	98.79	2	15	34	4
1	10	446	738	1	16	0	0	114.2203448275862	1.103448275862069	738	1	0	90.31643564356436	1.504950495049505	753.37	2	0	29	0
1	12	8143	102.07	5	8	0	0	132.0825	2.2916666666666665	297.69	4	0	92.73403225806452	1.7903225806451613	189.25	3	26	33	4
1	12	9448	25.32	4	5	0	1	132.0825	2.2916666666666665	171.22	5	1	87.79710144927536	1.7608695652173914	39.99	2	13	42	4
1	15	9585	67.21	6	16	1	0	85.71220779220779	1.3116883116883118	67.21	1	0	76.47962264150944	1.4339622641509433	141.01	3	6	29	1
1	16	6088	68.89	6	18	1	0	96.06464285714286	1.1785714285714286	68.89	1	0	108.73385185185185	2.066666666666667	125.41	4	35	49	0
1	17	530	84	4	12	0	0	208.69267515923568	2.0127388535031847	241.05	2	0	74.73480392156863	1.4803921568627452	185.6	2	4	36	0
1	17	530	88.58	5	13	0	0	208.69267515923568	2.0127388535031847	156.3	2	1	74.73480392156863	1.4803921568627452	187.01	3	20	36	1
1	17	2009	244.04	7	19	1	0	208.69267515923568	2.0127388535031847	244.04	1	3	79.80726495726496	1.4957264957264957	244.04	1	0	36	2
1	17	7435	239.1	4	19	0	0	208.69267515923568	2.0127388535031847	323.19	2	2	99.53026548672567	1.6460176991150441	274.92	3	0	35	2
1	22	898	48.75	7	17	1	0	94.77550898203593	2.730538922155689	91.39	2	3	87.41544642857143	1.5803571428571428	48.75	1	15	36	0
1	22	898	30.5	4	6	0	0	94.77550898203593	2.730538922155689	86.9	3	5	87.41544642857143	1.5803571428571428	78.27000000000001	2	20	36	1
1	22	2338	69.24	7	16	1	0	94.77550898203593	2.730538922155689	150.98	3	6	92.17068702290076	1.7404580152671756	114.77	3	28	42	3
1	22	7878	42.31	5	1	0	1	94.77550898203593	2.730538922155689	92.14	3	0	86.59691056910569	1.5528455284552845	166.43	2	0	34	0
1	22	7878	68.41	6	11	1	0	94.77550898203593	2.730538922155689	125.14	3	1	86.59691056910569	1.5528455284552845	146.73	2	11	34	1
1	22	7878	58.4	4	12	0	0	94.77550898203593	2.730538922155689	196.71	7	2	86.59691056910569	1.5528455284552845	151.79	2	20	34	2
1	22	7878	57.38	1	10	0	0	94.77550898203593	2.730538922155689	98.68	2	4	86.59691056910569	1.5528455284552845	57.38	1	25	34	3
1	25	4590	116.21	4	14	0	0	306.5137222222222	3.9444444444444446	567.91	6	0	70.3787619047619	1.438095238095238	116.21	1	18	30	6
1	26	2580	25.39	6	0	1	1	156.32207100591717	2.437869822485207	25.39	1	0	66.01454545454546	1.4431818181818181	37.05	2	10	31	0
1	26	4189	61.89	2	8	0	0	156.32207100591717	2.437869822485207	107.06	3	1	85.92871559633028	1.5596330275229358	135.44	3	5	34	2
1	27	302	224.85	1	23	0	1	229.28629213483146	3.6741573033707864	1239.6	4	23	99.15834645669291	1.7874015748031495	284.31	3	0	40	3
1	27	380	426.4	1	6	0	0	229.28629213483146	3.6741573033707864	1239.6	4	21	108.89746376811594	1.8985507246376812	519.13	2	0	35	7
1	27	450	200.55	2	10	0	0	229.28629213483146	3.6741573033707864	704.96000000000015	6	25	85.41975806451613	1.5241935483870968	200.55	1	0	41	6
1	27	525	171.64999999999998	1	8	0	0	229.28629213483146	3.6741573033707864	420.9	2	4	84.369375	1.75	228.45	2	0	40	0
1	27	719	322.04999999999995	2	5	0	1	229.28629213483146	3.6741573033707864	996.79	5	5	85.97060606060606	1.621212121212121	322.04999999999995	1	0	32	1
1	27	833	353.6	3	5	0	1	229.28629213483146	3.6741573033707864	506.55	4	14	97.61992	1.792	435.96000000000004	2	0	39	1
1	27	931	249.25	1	8	0	0	229.28629213483146	3.6741573033707864	420.9	2	3	88.9701680672269	1.7142857142857142	416.03	3	0	30	1
1	27	931	166.64999999999998	4	11	0	0	229.28629213483146	3.6741573033707864	357.14	4	15	88.9701680672269	1.7142857142857142	227.68999999999997	2	1	30	2
1	27	1531	360	7	15	1	0	229.28629213483146	3.6741573033707864	778.82	6	1	90.03181034482759	1.6120689655172413	556.16	4	0	40	0
1	27	1531	404.45	2	10	0	0	229.28629213483146	3.6741573033707864	1090.4	8	32	90.03181034482759	1.6120689655172413	404.45	1	1	40	6
1	27	1818	315.85	3	7	0	0	229.28629213483146	3.6741573033707864	351.72	2	34	77.7480459770115	1.4137931034482758	315.85	1	0	16	4
1	27	2507	251.2	6	12	1	0	229.28629213483146	3.6741573033707864	400.51	3	0	96.10530303030303	1.6136363636363635	267.28	2	0	35	0
1	27	2782	216.5	6	15	1	0	229.28629213483146	3.6741573033707864	643.53	4	39	89.84961538461539	1.7538461538461538	216.5	1	0	42	3
1	27	2882	533.3	2	15	0	0	229.28629213483146	3.6741573033707864	996.79	5	6	89.94204379562044	1.7007299270072993	604.6199999999999	2	0	41	0
1	27	2882	376.1	4	12	0	0	229.28629213483146	3.6741573033707864	681.3000000000001	3	8	89.94204379562044	1.7007299270072993	421.84000000000003	2	1	41	1
1	27	3104	189.65	1	2	0	1	229.28629213483146	3.6741573033707864	344.74	6	12	101.59473282442748	1.6870229007633588	376.32	3	1	37	1
1	27	3104	14.33	4	10	0	0	229.28629213483146	3.6741573033707864	182.88	4	17	101.59473282442748	1.6870229007633588	179.22	5	42	37	2
1	27	3558	235.75	5	21	0	1	229.28629213483146	3.6741573033707864	340.17	3	28	101.33157142857142	1.8285714285714285	277.86	2	1	40	8
1	27	3685	226.4	7	6	1	0	229.28629213483146	3.6741573033707864	438.48	6	30	116.66705882352942	1.875	361.29	4	0	33	4
1	27	4592	439.5	7	14	1	0	229.28629213483146	3.6741573033707864	779.38	4	19	93.0478102189781	1.7080291970802919	508.64	3	1	40	6
1	27	4675	316.45	1	7	0	0	229.28629213483146	3.6741573033707864	1239.6	4	22	85.2712962962963	1.6296296296296295	360.71	2	0	42	6
1	27	4801	189.15	7	16	1	0	229.28629213483146	3.6741573033707864	444.73	6	11	87.55537190082644	1.6611570247933884	189.15	1	0	39	1
1	27	5540	265.35	5	10	0	0	229.28629213483146	3.6741573033707864	413.70000000000005	4	16	113.10807407407407	1.9111111111111112	355.29	2	0	36	1
1	27	6045	247.95	7	13	1	0	229.28629213483146	3.6741573033707864	779.38	4	18	81.1495918367347	1.4387755102040816	282.59	3	0	30	2
1	27	6311	58.3	2	9	0	0	229.28629213483146	3.6741573033707864	128.7	2	13	88.12852713178295	1.813953488372093	58.3	1	0	41	1
1	27	6678	255.8	4	15	0	0	229.28629213483146	3.6741573033707864	681.3000000000001	3	9	74.6798449612403	1.6744186046511629	275.98	2	0	40	1
1	27	7542	364.2000000000001	2	6	0	0	229.28629213483146	3.6741573033707864	704.96000000000015	6	24	84.98596899224806	1.558139534883721	364.2000000000001	1	0	39	3
1	27	7660	221.4	7	17	1	0	229.28629213483146	3.6741573033707864	778.82	6	2	85.21722689075631	1.588235294117647	351.93	4	0	31	0
1	27	7663	127.55	5	14	0	0	229.28629213483146	3.6741573033707864	788.26	5	35	75.0660576923077	1.3653846153846154	192.24	2	2	21	3
1	27	7679	292.45	5	19	0	0	229.28629213483146	3.6741573033707864	788.26	5	36	80.06504347826088	1.5826086956521739	366.29999999999995	2	0	38	3
1	27	7679	293.75	6	6	1	0	229.28629213483146	3.6741573033707864	643.53	4	38	80.06504347826088	1.5826086956521739	322.88	2	1	38	4
1	27	8066	193.15	3	7	0	0	229.28629213483146	3.6741573033707864	350.64	4	26	79.06163793103448	1.6293103448275863	319.98	3	1	37	4
1	27	8066	282.7	1	15	0	0	229.28629213483146	3.6741573033707864	326.25	2	31	79.06163793103448	1.6293103448275863	306.99	2	2	37	5
1	27	8553	224.8	5	9	0	0	229.28629213483146	3.6741573033707864	386.32	4	10	104.80310606060605	1.75	239.67000000000002	2	0	37	1
1	27	8553	371.55	2	12	0	0	229.28629213483146	3.6741573033707864	1090.4	8	33	104.80310606060605	1.75	371.55	1	1	37	6
1	27	8568	429.35	3	7	0	0	229.28629213483146	3.6741573033707864	574.32	3	7	94.2762015503876	1.8992248062015504	511.28000000000003	2	0	38	0
1	27	8568	271.90000000000003	1	4	0	1	229.28629213483146	3.6741573033707864	1239.6	4	20	94.2762015503876	1.8992248062015504	276.69000000000005	2	2	38	3
1	27	8647	287.25	5	22	0	1	229.28629213483146	3.6741573033707864	788.26	5	37	94.84350746268657	1.7686567164179106	394.55	2	0	37	5
1	27	9714	147.15	6	17	1	0	229.28629213483146	3.6741573033707864	372.09	6	29	92.02854700854701	1.5042735042735043	254.99	2	0	31	11
1	27	9952	221.85	4	14	0	0	229.28629213483146	3.6741573033707864	503.40999999999997	6	27	80.27456310679612	1.4660194174757282	221.85	1	1	25	5
1	29	3433	104.24	7	10	1	0	255.6017365269461	2.844311377245509	471.53	4	1	110.98595588235294	1.963235294117647	212.13	2	17	51	1
1	29	3433	21.35	6	12	1	0	255.6017365269461	2.844311377245509	98.19999999999999	2	2	110.98595588235294	1.963235294117647	21.35	1	29	51	2
1	29	3433	115.85	7	11	1	0	255.6017365269461	2.844311377245509	248.12	3	3	110.98595588235294	1.963235294117647	161.5	3	31	51	3
1	29	7601	17.66	1	7	0	0	255.6017365269461	2.844311377245509	17.66	1	4	76.83635593220339	1.4576271186440677	17.66	1	5	42	1
1	29	7601	126.45	5	19	0	0	255.6017365269461	2.844311377245509	192	2	5	76.83635593220339	1.4576271186440677	140.18	2	21	42	2
1	29	9953	118.68	4	18	0	0	255.6017365269461	2.844311377245509	170.57	2	0	91.22601694915254	1.6016949152542372	171.72	2	25	42	0
1	30	1679	225.4	1	8	0	0	283.83298245614037	2.8771929824561404	587.38	5	3	85.10478260869566	1.5739130434782609	287.08	3	0	35	3
1	30	6760	223.93	3	23	0	1	283.83298245614037	2.8771929824561404	223.93	1	4	88.61336065573771	1.4918032786885247	223.93	1	2	39	6
1	30	9268	169.07	2	3	0	1	283.83298245614037	2.8771929824561404	266.24	2	0	87.57425	1.325	259.67	3	0	30	0
1	30	9268	102.8	5	15	0	0	283.83298245614037	2.8771929824561404	483.33	4	1	87.57425	1.325	102.8	1	5	30	1
1	30	9268	81.25	7	5	1	1	283.83298245614037	2.8771929824561404	321.4	4	2	87.57425	1.325	81.25	1	11	30	2
1	31	3695	11.24	6	16	1	0	10.917906976744186	1.6124031007751938	13.93	2	1	96.59093220338983	1.6864406779661016	11.24	1	0	44	1
1	31	3695	5.82	1	9	0	0	10.917906976744186	1.6124031007751938	31.57	5	2	96.59093220338983	1.6864406779661016	5.82	1	22	44	2
1	31	5672	3.19	4	11	0	0	10.917906976744186	1.6124031007751938	26.8	5	0	92.3881443298969	1.597938144329897	138	3	11	32	0
1	32	141	352.59999999999997	1	14	0	0	149.32891025641027	2.0961538461538463	967.46	3	6	90.1850925925926	1.3981481481481481	431.76	2	0	35	3
1	32	1314	354.45	7	10	1	0	149.32891025641027	2.0961538461538463	639.77	3	3	95.40333333333334	1.65	430.96	2	0	37	5
1	32	1693	267.35	7	9	1	0	149.32891025641027	2.0961538461538463	639.77	3	2	88.0356862745098	1.4509803921568627	445.73	3	1	35	1
1	32	1878	175.04999999999998	6	10	1	0	149.32891025641027	2.0961538461538463	175.04999999999998	1	1	80.63957894736842	1.3789473684210527	175.04999999999998	1	0	32	4
1	32	3822	535.7	1	4	0	1	149.32891025641027	2.0961538461538463	967.46	3	5	93.60078260869565	1.5826086956521739	535.7	1	0	40	3
1	32	4590	65.38	6	14	1	0	149.32891025641027	2.0961538461538463	201.48	3	9	70.3787619047619	1.438095238095238	65.38	1	4	30	1
1	32	4590	105.41	7	10	1	0	149.32891025641027	2.0961538461538463	105.41	1	10	70.3787619047619	1.438095238095238	105.41	1	5	30	2
1	32	5078	237.1	4	18	0	0	149.32891025641027	2.0961538461538463	464.40999999999997	3	4	81.62531531531532	1.4414414414414414	237.1	1	0	38	1
1	32	5197	296.25	2	19	0	0	149.32891025641027	2.0961538461538463	467.04999999999995	2	8	97.70271186440678	1.7033898305084745	553.75	4	0	43	3
1	32	5987	170.79999999999998	2	11	0	0	149.32891025641027	2.0961538461538463	467.04999999999995	2	7	80.4216814159292	1.4601769911504425	170.79999999999998	1	0	36	3
